date,open,open,open,open,open,high,high,high,high,high,low,low,low,low,low,close,close,close,close,close,volume,volume,volume,volume,volume
,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
2025-03-03,858.2984018170607,1201.2312348006667,1643.6569975986285,1199.2104168056296,3429.8217928275967,859.9017296292334,1207.6814644794808,1678.9135283002097,1201.6506219268736,3467.466178358631,835.7531099870528,1194.929880803104,1643.6569975986285,1151.4013636439433,3421.1118192809513,839.428466796875,1196.964111328125,1659.4884033203125,1166.5906982421875,3437.744384765625,21205364,8158881,7504969,17944938,4990439
2025-03-04,837.6771272358142,1197.9068433475454,1646.2794646548505,1157.576687742468,3418.9960131405514,845.7184570804238,1207.334101585249,1650.1644899401717,1169.3297956512124,3494.7768689297923,835.3338019387764,1197.0137104452713,1621.9980566215932,1154.9373267832577,3409.449641700051,843.5971069335938,1201.1319580078125,1639.7720947265625,1157.2779541015625,3476.126953125,19920958,9574490,6759673,11377373,2797737
2025-03-05,839.6257577393887,1207.6814517983407,1643.8026956375877,1156.3815647449799,3465.1040361000673,843.991790915382,1216.5628733470458,1683.1385762213686,1178.2940491759787,3543.3453026207108,832.8671383829512,1202.0251450551775,1643.8026956375877,1152.3974766666165,3465.1040361000673,833.73046875,1206.391357421875,1662.30517578125,1170.9234619140625,3490.88916015625,21583872,9052846,8180782,8664095,2501894
2025-03-06,832.2504799228543,1218.5476101118768,1665.7046071983816,1192.2383549047067,3500.681983864865,838.6144701478811,1218.5476101118768,1672.794825837321,1209.1208794668382,3552.301494441748,824.973838204501,1199.7427576093883,1642.4915571816716,1180.4355183146993,3480.1129898813674,834.3224487304688,1208.7235107421875,1666.5301513671875,1204.7882080078125,3544.575927734375,32966088,11949475,10610547,14468014,2786513
2025-03-07,829.7838192395386,1201.8265880949464,1654.146667899849,1211.1627762331514,3543.0010597320415,839.2311321984157,1208.5249033729367,1655.9920786793123,1249.8084792402678,3567.6052337579586,827.6131479773222,1197.0634143564148,1627.340016320931,1207.178688153437,3517.8062894194477,833.3604736328125,1205.250244140625,1637.5382080078125,1244.828369140625,3554.023681640625,13372914,6620284,8019331,16474965,2051315
2025-03-10,833.2371287977431,1198.7503263397664,1637.5382042171923,1240.0473535020744,3549.3982513065516,838.6144556459366,1216.4140799337886,1669.5896637303404,1252.9956391209716,3564.7513524687047,830.3018296675241,1198.7503263397664,1628.01984457351,1230.4855669004469,3525.876756343207,832.4971313476562,1205.5478515625,1652.5440673828125,1233.4736328125,3532.81494140625,15604050,7363437,7558981,11931051,1004626
2025-03-11,829.9811819724781,1207.8798680000234,1631.7106175387037,1235.0672477916657,3501.666002409517,835.7038170818192,1238.4440812807522,1631.7106175387037,1244.5294565449083,3531.929136072837,823.8885481247595,1207.8798680000234,1589.995206020896,1224.858022557904,3481.6381088995104,831.510498046875,1235.864013671875,1613.8394775390625,1242.3382568359375,3518.692138671875,19898430,10927950,12671234,10089838,1995450
2025-03-12,834.4951408301645,1237.4020778822246,1589.84944650162,1252.995610693361,3508.5550985819973,847.7904041385841,1242.3637929723905,1589.84944650162,1257.9757204337955,3512.7378080263093,834.4951408301645,1225.8413786306357,1518.850635339536,1239.0513034201438,3431.642549263105,844.1644287109375,1234.425048828125,1545.123046875,1252.0494384765625,3450.68603515625,18784106,11548372,14870008,11977555,3174167
2025-03-13,846.5818201293218,1241.4707365370484,1553.2816045131979,1255.0376050433522,3446.847768174978,848.9251455168071,1245.9858244254206,1559.886194636392,1259.1212710412995,3468.4994398886056,838.6885135609504,1235.7647643884725,1525.163782654934,1238.901975238559,3428.9359787214553,841.9197998046875,1240.4783935546875,1534.439208984375,1242.9359130859375,3455.459228515625,15736264,8132940,7822888,9505270,1693004
2025-03-17,841.1304307424771,1247.4248742515454,1500.736758011993,1237.208673957254,3433.758596103089,850.5037317302232,1264.1953748180651,1548.1826065260266,1252.3980085038181,3474.5522694033125,841.1304307424771,1245.1424367918191,1500.736758011993,1228.1946267891797,3422.293146886519,843.79443359375,1259.2833251953125,1544.34619140625,1233.9217529296875,3442.32080078125,18950652,11164812,7526032,16640917,2690906
